Fri Jan  4 12:49:37 2013,4.82,"Calculate mandelbrot set","will-tosh"
Fri Jan  4 12:49:53 2013,4.93,"Calculate mandelbrot set","will-tosh"
Fri Jan  4 22:13:16 2013,5.00,"Calculate mandelbrot set","will-tosh"
Fri Jan  4 22:42:03 2013,5.00,"Calculate mandelbrot set","will-tosh"
Fri Jan  4 22:42:11 2013,4.94,"Calculate mandelbrot set","will-tosh"
Fri Jan  4 22:42:29 2013,5.14,"Calculate mandelbrot set","will-tosh"
Fri Jan  4 23:36:51 2013,4.95,"Calculate mandelbrot set","will-tosh"
Tue Jan  8 13:00:57 2013,4.70,"Calculate mandelbrot set","will-tosh"
Tue Jan  8 13:03:09 2013,4.78,"Calculate mandelbrot set","will-tosh"
Tue Jan  8 13:14:05 2013,4.77,"Calculate mandelbrot set","will-tosh"
Tue Jan  8 13:26:36 2013,4.69,"Calculate mandelbrot set","will-tosh"
Tue Jan  8 16:06:43 2013,4.79,"Calculate mandelbrot set","will-tosh"
Tue Jan  8 16:06:53 2013,4.75,"Calculate mandelbrot set","will-tosh"
Tue Jan  8 20:49:33 2013,4.77,"Calculate mandelbrot set","will-tosh"
Mon Jan 14 20:49:03 2013,4.80,"Calculate mandelbrot set","will-tosh"
Mon Jan 14 20:49:11 2013,4.81,"Calculate mandelbrot set","will-tosh"
Mon Jan 14 21:08:12 2013,4.79,"Calculate mandelbrot set","will-tosh"
Mon Jan 14 21:59:31 2013,4.91,"Calculate mandelbrot set","will-tosh"
Sun Jan 27 20:11:40 2013,4.79,"Calculate mandelbrot set","will-tosh"
Sat Feb 23 18:25:55 2013,4.90,"Calculate mandelbrot set","will-tosh"
Sat Feb 23 18:53:11 2013,5.55,"Calculate mandelbrot set","will-tosh"
Sat Feb 23 23:13:51 2013,5.52,"Calculate mandelbrot set","will-tosh"
Sat Feb 23 23:17:20 2013,5.22,"Calculate mandelbrot set","will-tosh"
Sat Feb 23 23:21:18 2013,5.33,"Calculate mandelbrot set","will-tosh"
Sat Feb 23 23:24:59 2013,5.15,"Calculate mandelbrot set","will-tosh"
Sat Feb 23 23:25:08 2013,5.13,"Calculate mandelbrot set","will-tosh"
Sat Feb 23 23:25:23 2013,5.18,"Calculate mandelbrot set","will-tosh"
Sat Feb 23 23:45:38 2013,5.13,"Calculate mandelbrot set","will-tosh"
Sat Feb 23 23:46:26 2013,5.17,"Calculate mandelbrot set","will-tosh"
Sat Feb 23 23:56:37 2013,5.19,"Calculate mandelbrot set","will-tosh"
Sun Feb 24 11:18:34 2013,5.00,"Calculate mandelbrot set","will-tosh"
Sun Feb 24 11:19:38 2013,4.80,"Calculate mandelbrot set","will-tosh"
Sun Feb 24 11:21:40 2013,4.74,"Calculate mandelbrot set","will-tosh"
Sun Feb 24 11:25:02 2013,5.66,"Calculate mandelbrot set","will-tosh"
Sun Feb 24 11:25:18 2013,5.70,"Calculate mandelbrot set","will-tosh"
Sun Feb 24 11:26:58 2013,4.81,"Calculate mandelbrot set","will-tosh"
Tue Feb 26 11:20:33 2013,5.05,"Calculate mandelbrot set","will-tosh"
Tue Feb 26 11:20:53 2013,5.43,"Calculate mandelbrot set","will-tosh"
Tue Feb 26 11:21:06 2013,5.36,"Calculate mandelbrot set","will-tosh"
Tue Feb 26 11:23:54 2013,5.03,"Calculate mandelbrot set","will-tosh"
Tue Feb 26 11:24:25 2013,5.08,"Calculate mandelbrot set","will-tosh"
Tue Feb 26 11:25:23 2013,5.02,"Calculate mandelbrot set","will-tosh"
Tue Feb 26 11:25:54 2013,5.07,"Calculate mandelbrot set","will-tosh"
Tue Feb 26 11:27:09 2013,5.00,"Calculate mandelbrot set","will-tosh"
Tue Feb 26 11:28:23 2013,4.91,"Calculate mandelbrot set","will-tosh"
Tue Feb 26 11:28:56 2013,4.88,"Calculate mandelbrot set","will-tosh"
Tue Feb 26 11:29:43 2013,4.95,"Calculate mandelbrot set","will-tosh"
Tue Feb 26 11:30:02 2013,4.98,"Calculate mandelbrot set","will-tosh"
Tue Feb 26 11:33:11 2013,5.07,"Calculate mandelbrot set","will-tosh"
Tue Feb 26 11:33:50 2013,4.93,"Calculate mandelbrot set","will-tosh"
Tue Feb 26 11:34:20 2013,4.93,"Calculate mandelbrot set","will-tosh"
